,loyalty_timestamp,location,price,loyaltynum,date,category
129,01/11/2014,Katerina’s Café,52.45,L2343,2014-01-11,Food and Beverage
130,01/11/2014,Frydos Autosupply n' More,236.25,L8328,2014-01-11,Manufacturing and Construction
131,01/11/2014,Hippokampos,69.8,L6417,2014-01-11,Leisure and Tourism
132,01/11/2014,Katerina’s Café,94.68,L9018,2014-01-11,Food and Beverage
133,01/12/2014,Ouzeri Elian,98.45,L4034,2014-01-12,Leisure and Tourism
134,01/12/2014,Hippokampos,29.2,L6417,2014-01-12,Leisure and Tourism
135,01/12/2014,Guy's Gyros,30.47,L8328,2014-01-12,Food and Beverage
136,01/12/2014,Kronos Mart,147.3,L4034,2014-01-12,Retail and Services
137,01/12/2014,General Grocer,159.3,L6417,2014-01-12,Retail and Services
138,01/12/2014,Katerina’s Café,40.94,L4034,2014-01-12,Food and Beverage
139,01/12/2014,Frydos Autosupply n' More,88.93,L2247,2014-01-12,Manufacturing and Construction
140,01/12/2014,Katerina’s Café,39.3,L8328,2014-01-12,Food and Beverage
141,01/12/2014,Katerina’s Café,16.34,L6110,2014-01-12,Food and Beverage
142,01/12/2014,Katerina’s Café,40.25,L9406,2014-01-12,Food and Beverage
143,01/12/2014,Frydos Autosupply n' More,161.96,L2343,2014-01-12,Manufacturing and Construction
144,01/13/2014,Brew've Been Served,9.53,L9406,2014-01-13,Food and Beverage
145,01/13/2014,Hallowed Grounds,6.32,L6267,2014-01-13,Food and Beverage
146,01/13/2014,Brew've Been Served,13.37,L6110,2014-01-13,Food and Beverage
147,01/13/2014,Coffee Cameleon,17.49,L9018,2014-01-13,Food and Beverage
148,01/13/2014,Coffee Shack,4.09,L6417,2014-01-13,Food and Beverage
149,01/13/2014,Hallowed Grounds,15.96,L1107,2014-01-13,Food and Beverage
150,01/13/2014,Brew've Been Served,19.89,L2343,2014-01-13,Food and Beverage
151,01/13/2014,Katerina’s Café,38.98,L9018,2014-01-13,Food and Beverage
152,01/13/2014,Hippokampos,14.04,L4034,2014-01-13,Leisure and Tourism
153,01/13/2014,Guy's Gyros,21.03,L6110,2014-01-13,Food and Beverage
154,01/13/2014,Kalami Kafenion,20.33,L2247,2014-01-13,Food and Beverage
155,01/13/2014,Gelatogalore,36.24,L2343,2014-01-13,Food and Beverage
156,01/13/2014,Guy's Gyros,38.07,L6417,2014-01-13,Food and Beverage
157,01/13/2014,Gelatogalore,37.17,L1107,2014-01-13,Food and Beverage
158,01/13/2014,Hippokampos,26.96,L9406,2014-01-13,Leisure and Tourism
159,01/13/2014,Guy's Gyros,36.87,L8328,2014-01-13,Food and Beverage
160,01/13/2014,Frydos Autosupply n' More,188.57,L8328,2014-01-13,Manufacturing and Construction
161,01/13/2014,Frydos Autosupply n' More,64.6,L6110,2014-01-13,Manufacturing and Construction
162,01/13/2014,Ouzeri Elian,21.83,L1107,2014-01-13,Leisure and Tourism
163,01/13/2014,Katerina’s Café,33.57,L4034,2014-01-13,Food and Beverage
164,01/13/2014,Guy's Gyros,19.77,L2247,2014-01-13,Food and Beverage
165,01/13/2014,Hippokampos,32.29,L6417,2014-01-13,Leisure and Tourism
166,01/13/2014,Frydos Autosupply n' More,202.05,L9018,2014-01-13,Manufacturing and Construction
167,01/14/2014,Brew've Been Served,14.67,L2247,2014-01-14,Food and Beverage
168,01/14/2014,Hallowed Grounds,16.67,L8328,2014-01-14,Food and Beverage
169,01/14/2014,Brew've Been Served,14.04,L9406,2014-01-14,Food and Beverage
170,01/14/2014,Brew've Been Served,9.53,L2343,2014-01-14,Food and Beverage
171,01/14/2014,Coffee Cameleon,11.67,L9018,2014-01-14,Food and Beverage
172,01/14/2014,Hallowed Grounds,10.65,L1107,2014-01-14,Food and Beverage
173,01/14/2014,Brew've Been Served,16.39,L4034,2014-01-14,Food and Beverage
174,01/14/2014,Coffee Shack,3.63,L6417,2014-01-14,Food and Beverage
175,01/14/2014,Hallowed Grounds,6.16,L6267,2014-01-14,Food and Beverage
176,01/14/2014,Brew've Been Served,11.53,L6110,2014-01-14,Food and Beverage
177,01/14/2014,Abila Zacharo,31.09,L6110,2014-01-14,Leisure and Tourism
178,01/14/2014,Kalami Kafenion,33.13,L4034,2014-01-14,Food and Beverage
179,01/14/2014,Katerina’s Café,11.26,L9018,2014-01-14,Food and Beverage
180,01/14/2014,Katerina’s Café,31.69,L6267,2014-01-14,Food and Beverage
181,01/14/2014,Ouzeri Elian,33.67,L1107,2014-01-14,Leisure and Tourism
182,01/14/2014,Kalami Kafenion,27.65,L9406,2014-01-14,Food and Beverage
183,01/14/2014,Gelatogalore,35.97,L2247,2014-01-14,Food and Beverage
184,01/14/2014,Ouzeri Elian,19.7,L6417,2014-01-14,Leisure and Tourism
185,01/14/2014,Gelatogalore,22.03,L8328,2014-01-14,Food and Beverage
186,01/14/2014,Hippokampos,16.73,L2343,2014-01-14,Leisure and Tourism
187,01/14/2014,Guy's Gyros,35.12,L2247,2014-01-14,Food and Beverage
188,01/14/2014,Katerina’s Café,31.94,L4034,2014-01-14,Food and Beverage
189,01/14/2014,Katerina’s Café,26.61,L2343,2014-01-14,Food and Beverage
190,01/14/2014,Ouzeri Elian,20.95,L1107,2014-01-14,Leisure and Tourism
191,01/14/2014,Katerina’s Café,25.4,L6110,2014-01-14,Food and Beverage
192,01/14/2014,Katerina’s Café,28.05,L6267,2014-01-14,Food and Beverage
193,01/14/2014,Frydos Autosupply n' More,49.21,L9406,2014-01-14,Manufacturing and Construction
194,01/15/2014,Hallowed Grounds,18.69,L6267,2014-01-15,Food and Beverage
195,01/15/2014,Brew've Been Served,3.14,L9406,2014-01-15,Food and Beverage
196,01/15/2014,Brew've Been Served,8.42,L2247,2014-01-15,Food and Beverage
197,01/15/2014,Brew've Been Served,5.75,L6110,2014-01-15,Food and Beverage
198,01/15/2014,Coffee Shack,18.17,L6417,2014-01-15,Food and Beverage
199,01/15/2014,Coffee Cameleon,16.31,L9018,2014-01-15,Food and Beverage
200,01/15/2014,Hallowed Grounds,14.39,L1107,2014-01-15,Food and Beverage
201,01/15/2014,Brew've Been Served,3.47,L2343,2014-01-15,Food and Beverage
202,01/15/2014,Katerina’s Café,28.56,L9018,2014-01-15,Food and Beverage
203,01/15/2014,Kalami Kafenion,38.5,L4034,2014-01-15,Food and Beverage
204,01/15/2014,Ouzeri Elian,25.7,L2247,2014-01-15,Leisure and Tourism
205,01/15/2014,Kalami Kafenion,37.15,L6110,2014-01-15,Food and Beverage
206,01/15/2014,Guy's Gyros,12.19,L6267,2014-01-15,Food and Beverage
207,01/15/2014,Gelatogalore,24.96,L6417,2014-01-15,Food and Beverage
208,01/15/2014,Ouzeri Elian,26.61,L8328,2014-01-15,Leisure and Tourism
209,01/15/2014,Guy's Gyros,16.58,L2343,2014-01-15,Food and Beverage
210,01/15/2014,Gelatogalore,22.36,L1107,2014-01-15,Food and Beverage
211,01/15/2014,Abila Zacharo,26.82,L9406,2014-01-15,Leisure and Tourism
212,01/15/2014,Katerina’s Café,36.8,L6267,2014-01-15,Food and Beverage
213,01/15/2014,Guy's Gyros,24.91,L2247,2014-01-15,Food and Beverage
214,01/15/2014,Katerina’s Café,38.81,L4034,2014-01-15,Food and Beverage
215,01/15/2014,Katerina’s Café,29.33,L6110,2014-01-15,Food and Beverage
216,01/15/2014,Katerina’s Café,29.66,L9018,2014-01-15,Food and Beverage
217,01/15/2014,Katerina’s Café,21.61,L2343,2014-01-15,Food and Beverage
218,01/15/2014,Albert's Fine Clothing,228.15,L6417,2014-01-15,Retail and Services
219,01/15/2014,Frydos Autosupply n' More,276.88,L9406,2014-01-15,Manufacturing and Construction
220,01/15/2014,Ouzeri Elian,8.57,L1107,2014-01-15,Leisure and Tourism
221,01/16/2014,Brew've Been Served,5.05,L2247,2014-01-16,Food and Beverage
222,01/16/2014,Hallowed Grounds,17.92,L8328,2014-01-16,Food and Beverage
223,01/16/2014,Coffee Shack,10.48,L6417,2014-01-16,Food and Beverage
224,01/16/2014,Brew've Been Served,3.84,L9406,2014-01-16,Food and Beverage
225,01/16/2014,Coffee Cameleon,3.14,L9018,2014-01-16,Food and Beverage
226,01/16/2014,Hallowed Grounds,18.23,L6267,2014-01-16,Food and Beverage
227,01/16/2014,Hallowed Grounds,4.6,L1107,2014-01-16,Food and Beverage
228,01/16/2014,Brew've Been Served,11.21,L6110,2014-01-16,Food and Beverage
229,01/16/2014,Katerina’s Café,39.74,L4034,2014-01-16,Food and Beverage
230,01/16/2014,Hippokampos,13.05,L6267,2014-01-16,Leisure and Tourism
231,01/16/2014,Abila Zacharo,24.38,L9406,2014-01-16,Leisure and Tourism
232,01/16/2014,Katerina’s Café,38.32,L2247,2014-01-16,Food and Beverage
233,01/16/2014,Kalami Kafenion,9.27,L2343,2014-01-16,Food and Beverage
234,01/16/2014,Ouzeri Elian,8.52,L9018,2014-01-16,Leisure and Tourism
235,01/16/2014,Ouzeri Elian,8.47,L6417,2014-01-16,Leisure and Tourism
236,01/16/2014,Ouzeri Elian,31.21,L1107,2014-01-16,Leisure and Tourism
237,01/16/2014,Guy's Gyros,36.48,L8328,2014-01-16,Food and Beverage
238,01/16/2014,Octavio's Office Supplies,131.01,L2247,2014-01-16,Retail and Services
239,01/16/2014,Katerina’s Café,13.68,L6110,2014-01-16,Food and Beverage
240,01/16/2014,Katerina’s Café,29.3,L4034,2014-01-16,Food and Beverage
241,01/16/2014,Albert's Fine Clothing,283.38,L6417,2014-01-16,Retail and Services
242,01/16/2014,Katerina’s Café,18.79,L8328,2014-01-16,Food and Beverage
243,01/16/2014,Ouzeri Elian,22.65,L1107,2014-01-16,Leisure and Tourism
244,01/16/2014,Katerina’s Café,35.43,L9018,2014-01-16,Food and Beverage
245,01/16/2014,Katerina’s Café,30.56,L2343,2014-01-16,Food and Beverage
246,01/16/2014,Frydos Autosupply n' More,130.01,L9406,2014-01-16,Manufacturing and Construction
247,01/17/2014,Brew've Been Served,11.69,L2247,2014-01-17,Food and Beverage
248,01/17/2014,Brew've Been Served,8.07,L9406,2014-01-17,Food and Beverage
249,01/17/2014,Coffee Shack,19.16,L6417,2014-01-17,Food and Beverage
250,01/17/2014,Hallowed Grounds,5.52,L6267,2014-01-17,Food and Beverage
251,01/17/2014,Coffee Cameleon,7.49,L9018,2014-01-17,Food and Beverage
252,01/17/2014,Brew've Been Served,18.15,L4034,2014-01-17,Food and Beverage
253,01/17/2014,Brew've Been Served,14.58,L6110,2014-01-17,Food and Beverage
254,01/17/2014,Hippokampos,38.21,L9018,2014-01-17,Leisure and Tourism
255,01/17/2014,Gelatogalore,18.1,L1107,2014-01-17,Food and Beverage
256,01/17/2014,Hippokampos,23.54,L6267,2014-01-17,Leisure and Tourism
257,01/17/2014,Kalami Kafenion,24.21,L6110,2014-01-17,Food and Beverage
258,01/17/2014,Guy's Gyros,15.12,L2343,2014-01-17,Food and Beverage
259,01/17/2014,Guy's Gyros,21.1,L6417,2014-01-17,Food and Beverage
260,01/17/2014,Abila Zacharo,11.95,L2247,2014-01-17,Leisure and Tourism
261,01/17/2014,Katerina’s Café,30.72,L9406,2014-01-17,Food and Beverage
262,01/17/2014,Ouzeri Elian,26.1,L8328,2014-01-17,Leisure and Tourism
263,01/17/2014,Katerina’s Café,21.16,L9018,2014-01-17,Food and Beverage
264,01/17/2014,Hippokampos,19.76,L6417,2014-01-17,Leisure and Tourism
265,01/17/2014,Frydos Autosupply n' More,124.52,L9406,2014-01-17,Manufacturing and Construction
266,01/17/2014,Katerina’s Café,14.93,L8328,2014-01-17,Food and Beverage
267,01/17/2014,Katerina’s Café,36.12,L2343,2014-01-17,Food and Beverage
268,01/17/2014,Ouzeri Elian,26.4,L1107,2014-01-17,Leisure and Tourism
269,01/17/2014,Katerina’s Café,33.73,L4034,2014-01-17,Food and Beverage
270,01/17/2014,Frydos Autosupply n' More,67.29,L2247,2014-01-17,Manufacturing and Construction
271,01/18/2014,Katerina’s Café,34.54,L6267,2014-01-18,Food and Beverage
272,01/18/2014,Kalami Kafenion,30.12,L2247,2014-01-18,Food and Beverage
273,01/18/2014,Kalami Kafenion,42.73,L2343,2014-01-18,Food and Beverage
274,01/18/2014,Gelatogalore,24.38,L1107,2014-01-18,Food and Beverage
275,01/18/2014,Katerina’s Café,37.26,L6110,2014-01-18,Food and Beverage
276,01/18/2014,Frydos Autosupply n' More,103.41,L2247,2014-01-18,Manufacturing and Construction
277,01/18/2014,Albert's Fine Clothing,189.52,L6267,2014-01-18,Retail and Services
278,01/18/2014,Frydos Autosupply n' More,234.53,L4034,2014-01-18,Manufacturing and Construction
279,01/18/2014,Guy's Gyros,28.07,L2247,2014-01-18,Food and Beverage
280,01/18/2014,Ouzeri Elian,14.9,L1107,2014-01-18,Leisure and Tourism
281,01/18/2014,Katerina’s Café,32.68,L9018,2014-01-18,Food and Beverage
282,01/18/2014,Katerina’s Café,45.88,L6110,2014-01-18,Food and Beverage
283,01/18/2014,Hippokampos,55.03,L6417,2014-01-18,Leisure and Tourism
284,01/06/2014,Albert's Fine Clothing,276.9,L5777,2014-01-06,Retail and Services
285,01/06/2014,Hallowed Grounds,8.05,L5777,2014-01-06,Food and Beverage
286,01/06/2014,Bean There Done That,10.28,L7783,2014-01-06,Food and Beverage
287,01/06/2014,Guy's Gyros,15.44,L7783,2014-01-06,Food and Beverage
288,01/06/2014,Hippokampos,21.33,L7783,2014-01-06,Leisure and Tourism
289,01/06/2014,Bean There Done That,16.09,L3191,2014-01-06,Food and Beverage
290,01/06/2014,Guy's Gyros,30.82,L3191,2014-01-06,Food and Beverage
291,01/06/2014,Abila Zacharo,30.08,L4164,2014-01-06,Leisure and Tourism
292,01/06/2014,Brewed Awakenings,5.72,L4164,2014-01-06,Food and Beverage
293,01/06/2014,Hippokampos,17.27,L4164,2014-01-06,Leisure and Tourism
294,01/06/2014,Jack's Magical Beans,11.03,L6267,2014-01-06,Food and Beverage
295,01/06/2014,Katerina’s Café,18.56,L6267,2014-01-06,Food and Beverage
296,01/06/2014,Coffee Cameleon,8.73,L1682,2014-01-06,Food and Beverage
297,01/06/2014,Gelatogalore,12.74,L1682,2014-01-06,Food and Beverage
298,01/06/2014,Katerina’s Café,23.63,L1682,2014-01-06,Food and Beverage
299,01/06/2014,Brew've Been Served,18.24,L1485,2014-01-06,Food and Beverage
300,01/06/2014,Katerina’s Café,39.41,L1485,2014-01-06,Food and Beverage
301,01/06/2014,Brewed Awakenings,16.89,L5947,2014-01-06,Food and Beverage
302,01/06/2014,Ouzeri Elian,38.9,L5947,2014-01-06,Leisure and Tourism
303,01/06/2014,Gelatogalore,22.64,L6119,2014-01-06,Food and Beverage
304,01/06/2014,Bean There Done That,8.54,L3014,2014-01-06,Food and Beverage
305,01/06/2014,Hippokampos,8.64,L3014,2014-01-06,Leisure and Tourism
306,01/06/2014,Hippokampos,26.8,L3014,2014-01-06,Leisure and Tourism
307,01/06/2014,Brewed Awakenings,4.35,L2070,2014-01-06,Food and Beverage
308,01/06/2014,Hippokampos,20.61,L2070,2014-01-06,Leisure and Tourism
309,01/06/2014,Bean There Done That,5.24,L4149,2014-01-06,Food and Beverage
310,01/06/2014,Hippokampos,35.34,L4149,2014-01-06,Leisure and Tourism
311,01/06/2014,Abila Zacharo,18.11,L6544,2014-01-06,Leisure and Tourism
312,01/06/2014,Guy's Gyros,15.29,L6544,2014-01-06,Food and Beverage
313,01/06/2014,Hallowed Grounds,12.22,L6544,2014-01-06,Food and Beverage
314,01/06/2014,Hallowed Grounds,10.07,L4424,2014-01-06,Food and Beverage
315,01/06/2014,Katerina’s Café,13.59,L4424,2014-01-06,Food and Beverage
316,01/06/2014,Katerina’s Café,12.32,L4424,2014-01-06,Food and Beverage
317,01/06/2014,Brew've Been Served,8.88,L5259,2014-01-06,Food and Beverage
318,01/06/2014,Gelatogalore,23.41,L5259,2014-01-06,Food and Beverage
319,01/06/2014,Guy's Gyros,28.94,L5259,2014-01-06,Food and Beverage
320,01/06/2014,Brew've Been Served,4.24,L3800,2014-01-06,Food and Beverage
321,01/06/2014,Guy's Gyros,16.92,L3800,2014-01-06,Food and Beverage
322,01/06/2014,Guy's Gyros,39.29,L3800,2014-01-06,Food and Beverage
323,01/06/2014,Hallowed Grounds,16.72,L5553,2014-01-06,Food and Beverage
324,01/06/2014,Katerina’s Café,32.64,L5553,2014-01-06,Food and Beverage
325,01/06/2014,Bean There Done That,4.27,L3366,2014-01-06,Food and Beverage
326,01/06/2014,Hippokampos,25.5,L3366,2014-01-06,Leisure and Tourism
327,01/06/2014,Ouzeri Elian,20.4,L3366,2014-01-06,Leisure and Tourism
328,01/06/2014,Brew've Been Served,8.33,L8148,2014-01-06,Food and Beverage
329,01/06/2014,Guy's Gyros,37.82,L8148,2014-01-06,Food and Beverage
330,01/06/2014,Ouzeri Elian,20.56,L8148,2014-01-06,Leisure and Tourism
331,01/06/2014,Carlyle Chemical Inc.,3959.66,L4063,2014-01-06,Retail and Services
332,01/06/2014,Abila Airport,4540.08,L4063,2014-01-06,Transportation and Heavy Industry
